Item,Count
2168,2097
399,2097
1774,2095
1515,2095
774,2093
927,2092
1691,2090
763,2089
2025,2087
3129,2084
1014,2082
2416,2075
2041,2074
2377,2072
1531,2071
1462,2069
1824,2065
1829,2051
858,2047
1631,2047
2821,2042
1451,2042
2135,2038
1752,2030
839,2028
567,2027
1466,2025
1694,2025
867,2023
657,2023
2061,2022
51,2021
4988,2018
1612,2013
4058,2012
248,2010
1601,1998
1681,1998
4060,1994
328,1994
1118,1990
398,1988
1646,1987
884,1987
1978,1982
2009,1976
488,1975
3315,1971
3181,1971
1850,1971
1596,1970
1039,1970
730,1970
2324,1970
217,1969
638,1969
1830,1969
275,1969
1078,1969
799,1968
1777,1968
1105,1968
483,1968
72,1967
1164,1967
1059,1967
52,1967
807,1966
635,1966
1581,1966
643,1966
1779,1966
1637,1966
922,1966
2309,1966
607,1965
2247,1965
801,1965
288,1965
293,1964
535,1964
1017,1964
82,1964
2874,1964
484,1964
2081,1964
2985,1964
3317,1964
621,1964
1057,1964
605,1963
749,1963
485,1963
1180,1963
612,1963
1490,1963
1177,1963
487,1962
2344,1962
3003,1962
509,1962
3347,1962
295,1962
4035,1961
3001,1961
291,1961
1599,1961
849,1961
3620,1961
3764,1961
323,1961
4426,1961
2186,1961
54,1960
3090,1960
616,1960
502,1960
3826,1960
146,1960
532,1959
622,1959
656,1959
880,1959
3589,1959
2234,1959
2895,1958
4833,1957
4315,1957
1756,1956
1855,1955
886,1952
1489,1950
1823,1950
38,1945
817,1941
1362,1941
1600,1939
2457,1936
1921,1935
1455,1926
209,1924
684,1919
3638,1910
362,1910
1981,1901
2070,1901
944,1899
518,1895
842,1895
185,1888
1579,1888
741,1884
969,1883
3692,1883
558,1883
696,1878
2214,1866
818,1863
4597,1863
369,1860
3198,1858
2196,1857
263,1856
3374,1848
1471,1846
2020,1846
890,1840
3492,1838
699,1836
877,1831
3085,1829
946,1820
852,1815
1765,1813
3370,1812
2040,1811
1958,1807
114,1806
2150,1805
723,1803
3257,1799
1692,1797
474,1795
132,1794
1373,1793
1120,1788
1772,1787
1696,1786
4966,1782
972,1779
1056,1778
928,1777
617,1774
70,1773
251,1771
714,1769
5234,1768
2872,1768
2273,1763
1714,1761
986,1759
3955,1756
4834,1756
2160,1755
2012,1753
548,1753
1001,1751
443,1751
2169,1744
1888,1744
1660,1744
3992,1739
359,1735
1690,1725
2132,1724
1592,1712
967,1711
1119,1710
2177,1710
449,1710
3356,1708
4074,1707
2272,1705
3243,1703
872,1695
1049,1694
3458,1692
2013,1688
2304,1685
444,1685
836,1675
1643,1675
1682,1674
367,1674
2122,1671
942,1671
1384,1669
2181,1668
1477,1660
1885,1658
3102,1654
2885,1652
556,1652
1063,1648
724,1647
1133,1644
3518,1640
4791,1639
2270,1639
3235,1638
239,1636
238,1636
156,1630
1539,1624
1007,1623
3333,1622
4835,1618
864,1618
795,1618
4321,1616
1162,1616
1602,1614
1741,1614
3945,1611
2231,1610
1395,1610
990,1610
3810,1606
831,1603
2048,1602
4001,1601
1534,1596
1834,1595
770,1595
93,1591
1130,1591
4836,1583
3612,1582
1457,1581
3209,1580
4962,1579
783,1579
1147,1579
305,1575
98,1572
960,1571
126,1570
2103,1564
1467,1563
99,1563
2939,1561
4662,1561
5058,1557
4737,1554
432,1553
835,1550
910,1548
1639,1547
2105,1542
2942,1540
2281,1539
1811,1538
1698,1535
1143,1531
2128,1531
704,1530
1836,1529
685,1529
2333,1527
2888,1524
828,1523
3407,1521
1848,1521
4981,1520
3501,1519
9,1519
2387,1514
541,1513
2229,1510
545,1506
1656,1500
2389,1500
2045,1500
1699,1499
1871,1498
2258,1496
1743,1491
3972,1489
2876,1484
3297,1482
574,1481
3084,1481
3613,1480
581,1479
4733,1478
3276,1476
3237,1472
1912,1470
1406,1470
3232,1468
1568,1459
299,1459
4837,1458
833,1457
2400,1446
50,1445
101,1444
1771,1444
5565,1444
227,1441
546,1440
4970,1437
450,1436
1124,1433
5375,1428
1683,1427
2162,1426
1112,1425
214,1423
1051,1423
2843,1422
2335,1421
2274,1420
3139,1420
2850,1417
3258,1417
1417,1414
865,1414
2959,1412
830,1412
115,1410
2038,1410
4756,1410
2326,1403
3682,1403
302,1401
3762,1399
1802,1394
4616,1392
819,1392
1884,1390
1725,1389
2442,1389
3776,1386
1609,1386
980,1385
1468,1384
5408,1383
661,1382
1919,1381
2044,1378
4838,1374
2356,1370
726,1369
1194,1369
2282,1369
3419,1367
3664,1367
4721,1365
929,1363
256,1363
673,1363
3156,1363
1021,1363
810,1358
3143,1358
1236,1352
2852,1352
1629,1350
1225,1348
2399,1347
1428,1347
1934,1346
120,1345
4839,1345
1827,1345
4673,1344
1008,1342
1708,1341
559,1339
4069,1339
1247,1339
47,1334
1069,1334
2269,1333
3337,1332
4015,1331
2285,1328
5287,1326
2130,1325
4045,1324
1607,1324
702,1322
3120,1320
1024,1319
674,1316
4065,1316
2456,1311
1214,1311
578,1309
1655,1308
2037,1307
2148,1306
2849,1305
3647,1302
2173,1302
3212,1300
4415,1295
3124,1294
1090,1293
862,1290
2261,1289
1485,1287
373,1286
1327,1285
1614,1282
4629,1281
756,1281
2452,1281
2211,1278
3885,1277
1257,1277
3092,1276
3483,1276
3045,1274
108,1269
4078,1269
1033,1264
4653,1264
981,1263
731,1262
4840,1262
2864,1260
1009,1258
3919,1257
3352,1257
3825,1256
4577,1254
3087,1253
3436,1253
821,1249
5102,1247
1556,1243
630,1243
1825,1240
610,1240
720,1240
3460,1239
3387,1238
1338,1237
3974,1236
113,1235
4242,1232
97,1231
4628,1229
1260,1228
4841,1226
2102,1223
3959,1223
834,1223
3824,1222
1293,1221
3515,1221
2979,1221
1593,1220
1837,1220
1611,1218
2980,1218
1271,1218
794,1217
2232,1215
133,1214
125,1211
1991,1211
2367,1210
3208,1210
1575,1208
3170,1208
1282,1206
1718,1206
1704,1204
3985,1201
740,1198
2206,1197
2185,1197
1726,1196
1346,1194
3363,1193
3489,1193
2409,1192
1700,1192
2948,1189
3988,1188
2034,1186
3788,1183
2062,1182
471,1181
2280,1180
2395,1180
57,1179
727,1178
1304,1176
691,1175
2129,1173
1347,1173
6710,1173
2858,1173
489,1172
3871,1172
3292,1170
1113,1169
19,1166
812,1165
4675,1164
430,1163
128,1162
1344,1161
4832,1161
1702,1160
2123,1160
552,1157
3386,1157
3605,1155
2443,1155
3121,1154
1316,1151
4660,1151
1671,1150
2371,1148
1434,1148
1679,1146
5510,1145
1429,1145
710,1145
2866,1144
1816,1144
1345,1143
1917,1140
1460,1136
3758,1134
3103,1134
1435,1132
3383,1132
3272,1131
2889,1129
883,1128
105,1127
3504,1127
771,1127
3361,1126
5755,1126
4509,1125
375,1125
1348,1125
1651,1125
433,1123
3910,1121
2402,1119
734,1117
3765,1115
1687,1113
2184,1111
4831,1110
381,1108
3210,1107
4194,1107
4376,1104
690,1103
1632,1101
4755,1100
1350,1099
628,1098
2417,1098
5098,1097
1104,1097
3719,1096
2115,1094
29,1091
4395,1091
1195,1090
5095,1089
2109,1088
769,1088
6760,1087
991,1086
1626,1085
2157,1084
4731,1084
23,1084
841,1082
3669,1081
5096,1081
3411,1076
462,1076
1603,1075
4625,1075
475,1074
2116,1074
3384,1074
1503,1072
2276,1072
2975,1070
1002,1067
3378,1067
1349,1067
5097,1067
1803,1065
2119,1064
3152,1060
3724,1060
2412,1060
4059,1060
3118,1059
5192,1059
3111,1058
3666,1057
2951,1056
345,1056
1196,1055
1352,1053
5094,1052
3979,1052
1900,1050
244,1050
3516,1049
3388,1048
4006,1047
4506,1046
5100,1046
2977,1045
3206,1042
460,1040
5686,1040
2292,1039
4614,1039
3512,1039
103,1037
1170,1036
2176,1033
1923,1033
2808,1032
848,1031
4500,1031
5698,1031
4759,1030
5653,1029
1744,1029
4684,1029
2069,1029
4439,1028
5976,1028
2171,1027
1036,1027
4960,1027
6711,1027
3960,1024
2126,1024
601,1024
2118,1023
583,1023
3357,1022
2267,1019
1353,1018
4442,1018
3791,1017
3632,1015
6239,1015
3969,1015
6636,1012
5099,1011
2178,1009
1197,1008
6303,1008
1703,1008
4416,1008
2127,1008
4512,1007
431,1006
3400,1005
1630,1005
996,1004
3875,1004
2265,1004
808,1003
243,1002
6333,1002
3805,1001
3376,1001
2279,1001
5634,1000
1484,995
931,995
119,994
3320,992
3766,992
1354,991
2313,990
3870,989
2010,989
778,988
2219,987
3131,986
717,985
3182,984
1470,984
1580,984
4735,983
3520,983
760,982
2164,979
1750,978
3693,978
2419,977
2065,977
891,977
4617,977
2170,976
1905,976
3398,972
3488,972
5188,972
1926,972
3714,970
1711,969
7430,969
1198,967
2386,966
615,966
2873,966
192,965
2819,965
693,965
5975,964
100,963
2027,962
6000,962
5230,962
2439,961
2221,961
3958,961
1355,960
1532,959
3560,956
1977,953
466,952
692,951
5759,950
1182,949
1360,949
3937,948
2144,948
3252,946
1719,946
1645,945
1473,944
5944,943
4952,943
5014,942
701,937
457,937
1356,937
511,937
3812,936
1199,935
652,935
5707,934
322,933
5452,933
3543,932
116,932
3784,929
1359,928
716,926
1742,926
1357,926
2307,925
4793,925
1706,925
1438,924
1479,924
1723,924
2316,924
3720,924
2863,923
1361,923
2855,920
790,917
2021,917
5376,915
4720,915
2971,914
765,913
2254,913
4692,912
1647,912
1365,912
1358,911
1430,911
860,910
1154,909
352,909
695,909
374,908
1200,907
5340,906
2878,906
1597,906
3536,905
4562,904
2277,904
1591,904
1363,904
7523,903
2999,903
6053,902
8113,902
3379,901
2125,901
1913,901
1658,900
7573,900
6189,899
1091,899
2066,898
1795,896
2388,894
2981,894
1780,894
3241,893
1705,891
4043,891
894,890
6061,889
3797,889
143,889
1364,888
4503,888
4631,886
3452,885
1990,885
4736,885
1537,885
718,884
2110,883
2064,883
5899,883
3604,883
1366,879
3574,878
2327,878
1431,877
761,876
4066,876
3478,876
1201,876
1369,876
1129,876
1181,874
1486,874
1520,872
5572,871
1627,869
349,869
2201,869
3583,869
1465,867
1996,866
3956,865
59,864
4732,862
5044,862
2051,861
1370,860
2120,860
2398,858
3899,857
2867,857
7792,856
1432,856
1734,856
2453,856
61,856
5732,856
1841,855
5355,855
2058,854
6406,852
4145,852
2112,851
1367,850
4480,848
4360,847
3345,844
3391,844
2956,843
5613,843
2113,842
3790,842
2111,840
5873,839
3658,838
1588,838
1202,837
3362,836
4563,835
3409,835
1151,834
4369,833
1376,833
1955,833
1525,832
2152,831
1371,831
3653,831
5657,830
4806,829
1368,829
820,829
451,829
4743,828
1475,828
3250,828
1845,827
2354,827
1642,827
3417,826
1697,825
1695,824
5254,824
7172,824
60,823
1843,823
2075,823
1872,822
420,821
925,821
709,821
1737,819
2361,819
3905,819
5063,819
3453,818
42,818
5655,817
3338,816
343,816
3922,816
1377,816
3485,815
679,814
1616,814
3723,813
5579,811
4652,811
3454,810
4564,809
905,808
2023,808
3531,808
8065,807
4312,807
1773,805
1895,805
2220,804
1372,802
110,800
722,800
111,799
2423,799
1433,799
5615,798
1184,797
2346,797
6233,797
4781,796
604,795
3020,795
1560,793
4104,792
698,792
4750,792
2114,791
2434,790
791,790
1538,790
3595,789
5205,787
4747,787
3245,786
447,784
3736,783
3360,783
2043,783
2984,782
1012,781
3283,780
4805,780
2296,777
1374,776
1701,776
4196,775
1185,774
5178,774
788,773
3510,773
1378,773
3171,771
1717,771
874,769
1740,769
683,769
1715,767
3631,767
2083,767
4046,766
1117,766
1809,766
3558,766
428,765
2228,765
3368,765
1730,764
3364,764
2329,763
4822,761
903,761
5243,760
1388,759
3404,759
1959,759
2363,757
3449,757
5023,756
5011,756
2262,756
3225,756
6164,755
1504,755
2800,755
6160,754
847,753
3259,752
4581,752
2943,751
2396,751
1186,751
2047,750
3342,750
3412,750
8076,749
2060,749
3577,748
2199,747
6563,747
401,746
6646,746
893,745
168,745
1375,745
7945,744
517,743
4769,743
5984,743
2869,742
3091,742
3227,742
2213,741
4724,741
1389,741
3717,740
4868,739
1822,739
2851,739
4336,739
4796,736
2364,736
298,736
1379,735
1380,734
1916,734
4101,734
3117,733
3273,733
3802,732
2426,732
4030,732
1862,732
5080,732
1390,731
2266,731
5767,731
1187,729
5534,729
5620,729
591,728
1439,728
3792,728
3086,727
4445,727
965,727
4474,727
3808,725
3238,724
6132,723
992,723
1989,722
5577,722
3691,722
703,722
2207,721
5182,721
436,720
2101,720
5378,720
6163,720
1188,720
3867,720
2271,719
4674,719
2153,717
1387,716
3821,715
1381,714
1608,714
3888,714
2052,714
4000,713
107,713
127,712
4680,711
1920,711
3868,711
1169,710
4373,710
3375,710
1142,709
1092,709
902,709
3486,708
365,708
2336,708
711,708
1391,708
971,708
3847,707
2844,707
1654,706
2390,706
782,705
752,704
1383,703
1189,701
1385,701
6867,700
3866,699
4144,699
3413,698
2366,697
3949,697
1386,697
859,696
427,696
1382,696
804,695
2121,695
1835,695
3190,694
283,694
4802,692
2861,691
226,691
3925,690
13,690
3218,690
2172,688
3798,688
6835,688
4663,687
2071,686
7121,686
1440,685
792,684
4241,684
851,683
4203,683
1449,682
4103,682
1137,681
4980,681
3777,681
4774,681
1392,681
285,680
4003,680
3500,680
48,680
2397,679
1190,679
5115,678
8059,677
2039,677
1450,677
3865,676
3701,676
904,676
3864,675
9071,675
348,675
4097,674
1672,674
6137,674
4696,673
440,673
1068,673
3240,673
2803,672
2264,672
5930,671
5019,671
5016,670
5236,670
6261,670
3801,669
1393,668
1048,668
3649,667
5048,666
1664,666
3389,665
1060,665
4100,665
2974,665
7087,664
3144,664
6976,663
4441,663
2804,662
4667,662
6320,661
2287,661
557,660
5055,660
3450,660
5830,659
4093,659
5832,659
1483,658
282,658
4143,657
7409,656
5406,655
1513,655
1394,655
4444,654
1191,654
3367,654
715,654
1509,654
8783,654
5370,653
2022,652
3146,652
301,651
2179,651
3402,651
8266,650
4858,648
680,648
5064,647
2428,646
2257,646
2139,646
873,645
4807,645
3813,645
1396,645
4522,645
3514,644
823,644
3800,644
8144,644
2318,644
2921,643
3396,643
1495,643
933,642
2250,642
2373,642
4005,641
3224,641
4335,641
4638,641
1851,641
3223,641
5943,640
6977,640
5331,639
10530,639
219,639
5878,639
2334,639
4472,639
249,638
4878,638
1043,637
4584,637
4092,637
1192,637
3668,636
1883,636
6706,636
2376,635
4595,635
6010,635
3242,635
3728,635
2242,634
3538,634
6302,633
2330,633
4026,632
1757,632
2958,632
2877,631
4515,631
264,630
6571,630
4612,630
2263,630
2990,629
3648,628
1898,627
2812,627
4786,627
5606,626
4705,626
3944,626
4651,625
6015,625
5502,625
377,624
5961,624
495,624
576,624
5688,623
7864,623
3420,623
4678,623
6063,621
708,621
6577,621
4140,621
1689,621
5979,621
308,621
767,620
3226,620
36,619
1528,619
1183,619
3346,618
6813,618
1854,618
1122,618
5110,617
340,617
3650,617
4588,617
5545,616
739,616
1397,616
5442,616
341,615
429,614
3393,613
437,613
284,613
947,612
875,612
1398,612
4961,612
2183,611
5387,611
6986,611
1914,610
3221,610
1128,610
811,610
5368,610
1067,609
7167,609
5176,609
3331,609
2868,609
6728,609
1399,608
5900,608
5603,608
3508,608
1650,607
5685,607
3343,607
4168,606
3140,606
7085,606
8941,606
6090,605
3869,604
6214,603
5028,603
1653,603
5453,602
1073,602
5716,601
2857,601
1840,601
1931,601
3318,601
1123,601
6166,600
10041,599
5103,598
4331,598
4040,598
3284,598
7788,596
1401,595
6123,595
5013,595
6915,594
3809,594
3663,594
1573,594
6344,594
4108,594
1400,594
5460,594
6876,593
4153,593
5584,593
4634,592
3924,592
5365,592
6281,591
6011,591
915,591
3278,591
6960,590
3628,590
4498,590
914,590
6974,590
1478,590
4218,589
6828,589
3484,589
4055,589
6896,589
5682,588
9929,588
4758,587
5718,587
11921,586
5614,586
5789,585
3321,585
2559,584
4725,584
3093,583
5495,582
721,581
2369,581
2028,581
4987,581
4959,581
4989,581
878,581
222,580
3479,580
76,580
1505,579
1918,579
5616,578
1402,577
3457,577
2230,577
4872,576
1877,576
9065,576
1879,575
6469,575
4189,575
4508,574
5687,574
5600,574
4761,574
426,574
5849,573
2217,572
5914,572
7396,572
4676,571
3863,569
7860,569
463,569
4779,568
736,568
4776,568
4169,568
3104,566
4566,566
6087,566
5040,566
3228,566
5168,565
5524,565
3882,565
2096,564
5679,564
1093,564
1403,564
5663,563
1076,563
4677,562
2137,562
5929,562
3392,561
3122,561
3366,561
676,560
2370,560
5027,560
3582,559
2275,559
4701,559
3570,559
3435,558
2297,558
3462,558
569,558
4147,557
4926,557
5232,556
4042,556
1548,556
3806,555
5029,555
1736,555
4637,555
1413,554
5317,554
8338,554
441,553
3787,552
3339,552
4313,552
1422,551
1409,551
3819,551
5752,550
4969,550
1418,550
3193,549
3172,549
1415,549
4378,549
2880,548
2268,548
2848,547
3926,547
1404,547
1452,546
1461,546
1410,546
1032,546
4739,546
5983,545
1987,545
3660,545
2278,543
5537,542
6287,541
6439,541
3075,540
899,540
1565,539
953,539
4611,538
1423,538
8942,538
1909,538
3119,538
8956,538
5282,537
7539,537
1419,536
4946,536
1416,536
7413,535
2813,535
1985,535
2809,535
6326,535
1414,535
6213,534
1405,534
6362,534
4565,533
7617,533
1784,533
5374,533
4345,532
3725,532
1412,532
7820,532
3423,532
2049,530
2801,530
5113,529
7730,529
3359,529
157,529
3544,529
6162,529
3721,528
11096,528
712,527
1411,527
2854,527
1497,527
4138,526
4930,526
1892,526
1421,525
544,523
1427,523
1976,523
4654,523
3537,523
5117,522
1424,522
5856,522
3606,522
4202,522
1876,522
3151,521
3511,521
2421,520
5945,520
5109,520
6118,520
2216,520
7400,520
2146,519
5671,519
1420,519
1407,518
1904,517
2260,516
2408,516
3915,516
3185,515
213,515
2108,515
1915,515
224,515
5644,514
7050,514
4593,514
8009,513
4155,513
4133,512
1094,512
2036,511
5329,511
1115,511
4624,510
5142,510
5127,510
619,509
2418,509
5104,509
954,509
3236,509
4715,508
5310,508
7522,508
2824,508
297,508
3587,508
425,508
4722,507
3881,507
3219,507
4195,507
8337,507
7416,507
1408,506
5488,506
3506,506
3671,506
3991,506
4706,505
725,505
843,505
840,504
6540,504
3961,504
7616,503
1204,503
8282,503
1459,503
6669,502
4691,502
4647,502
4979,501
1928,501
2982,500
2976,499
2862,499
3586,499
2197,499
6716,499
1720,499
4643,499
9612,498
1875,498
2337,498
4365,498
3654,497
5683,497
1826,496
779,496
1425,496
4028,495
1804,494
1441,494
2180,493
4119,493
6117,493
1074,493
6335,492
6073,492
4175,492
4641,492
1899,492
6119,492
560,491
4228,491
6737,491
3089,491
1724,491
3588,491
1116,491
3898,490
3975,490
5715,490
4311,490
2603,490
5272,489
4708,489
3499,489
4585,488
3248,488
1945,488
8361,487
5112,487
6892,487
3468,487
4752,487
5622,487
1205,487
2248,486
6431,486
1454,486
1426,486
3779,486
5311,486
7981,485
6528,485
5177,485
7844,485
2887,484
3889,484
4686,484
6868,483
3552,483
6544,483
1640,483
4726,483
5485,482
1206,482
3430,481
8908,481
6212,480
5912,479
5720,479
9129,479
1498,479
7894,478
4586,477
3470,476
4361,476
8178,476
6245,475
5497,475
7139,475
3572,475
5347,475
5958,475
8175,475
994,475
8943,475
5768,474
4067,474
8158,473
6428,472
6589,472
4523,472
66,472
7512,472
4742,472
4183,472
3373,471
2769,471
8906,471
519,471
2080,471
5105,471
7449,470
3756,470
3952,470
2182,469
2104,469
5528,468
4792,468
3575,468
4882,468
7969,467
5894,467
700,467
8237,467
6278,466
3035,466
6301,466
580,466
4602,466
4727,465
8284,465
5454,465
4982,464
4940,464
6749,464
8944,464
5819,463
1453,463
5501,462
1882,462
1733,462
4738,462
300,462
2158,462
4753,461
5967,460
5665,460
3569,460
1207,460
5153,460
6512,460
6173,460
3923,460
4719,460
3274,459
5084,459
6182,459
3928,459
6621,458
2928,457
1442,457
3288,457
3214,457
7232,457
780,457
1193,455
4358,455
4968,455
2425,455
4476,455
4359,454
1106,454
6251,454
2046,453
2030,453
7415,453
536,453
728,453
1508,452
4874,452
8988,452
1482,451
8381,451
626,451
2001,451
4070,450
313,450
1208,450
5990,449
3880,449
2007,449
6567,449
5880,449
2131,448
3249,448
2424,448
8379,448
4881,447
6408,447
9459,447
6047,447
1908,447
547,446
6715,446
95,446
6847,444
7786,444
6500,443
6247,443
5440,443
4496,443
5385,443
4056,442
5861,442
1988,442
7159,442
4767,442
3661,442
6873,442
4008,441
4768,441
7350,441
2289,441
3480,441
5116,441
1055,441
4440,441
1095,441
5805,440
3815,440
1832,440
6792,440
9144,440
5700,439
1995,439
5749,439
3897,439
3048,439
6008,438
5518,438
3571,437
1274,437
2368,437
1006,437
3971,436
4900,436
4050,435
5233,435
1820,435
7158,435
1891,435
663,435
3741,435
4854,435
7154,434
1443,434
2147,434
4594,434
4548,433
6457,433
4181,433
5710,433
6663,433
3823,432
2946,432
805,432
4955,431
4322,431
6270,431
1038,431
4669,430
5238,430
2404,429
6299,429
3173,429
5554,429
754,429
4211,429
1209,429
1516,428
6672,428
4222,428
1444,428
13220,428
4707,428
5675,427
4172,427
5677,427
147,427
1874,426
3265,426
822,426
4599,426
3354,426
5756,425
1618,425
2107,425
1554,425
6064,424
5225,424
542,424
6167,424
4573,423
1445,423
705,422
6865,422
4941,422
5111,422
6402,422
5669,422
4212,422
4782,422
2822,422
3794,421
3616,421
651,421
6071,421
1275,420
2385,420
5969,420
7166,420
7783,420
1210,420
1889,419
4679,419
7581,419
6901,418
9404,418
4887,418
7186,417
7152,416
7367,416
2914,416
1054,416
2259,415
6174,415
4014,415
5586,415
4895,415
7766,415
2209,414
3894,414
5039,414
4655,414
7973,413
2814,412
9542,412
1264,412
4204,412
117,412
4162,412
207,411
1667,411
920,411
5645,411
1962,411
319,410
1446,410
10840,410
2189,410
7939,410
3908,409
5940,409
4137,409
5753,409
1911,409
5705,409
4598,408
2865,408
4310,408
2302,408
5608,408
1211,408
4728,407
600,407
3327,407
998,407
5083,406
5901,406
1273,406
4922,406
5875,406
4010,406
1506,405
5257,405
3652,404
968,404
317,404
2154,404
4545,403
5630,403
5568,403
5126,403
5012,403
5315,402
1026,402
7047,402
5954,402
4700,402
7118,402
4190,402
4224,401
4754,401
1212,401
5052,401
6052,401
